YEAR,PROVINCE,DISTRIC,SEX,VALUE,UNIT,SOURCE
2564,ชัยภูมิ,รวม,รวม,1122265.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,อำนาจเจริญ,รวม,รวม,376350.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,บึงกาฬ,รวม,รวม,421995.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,หนองบัวลำภู,รวม,รวม,509001.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,ขอนแก่น,รวม,รวม,1790863.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,อุดรธานี,รวม,รวม,1566510.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,เลย,รวม,รวม,638732.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,หนองคาย,รวม,รวม,516843.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,มหาสารคาม,รวม,รวม,948310.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,ร้อยเอ็ด,รวม,รวม,1296013.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,กาฬสินธุ์,รวม,รวม,975570.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,สกลนคร,รวม,รวม,1146286.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,นครพนม,รวม,รวม,717040.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,มุกดาหาร,รวม,รวม,351484.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,นครศรีธรรมราช,รวม,รวม,1549344.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,กระบี่,รวม,รวม,479351.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,พังงา,รวม,รวม,268016.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,ภูเก็ต,รวม,รวม,418785.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,สุราษฎร์ธานี,รวม,รวม,1072464.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,ระนอง,รวม,รวม,194573.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,ชุมพร,รวม,รวม,509479.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,สงขลา,รวม,รวม,1431536.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,สตูล,รวม,รวม,324835.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,ตรัง,รวม,รวม,639788.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,พัทลุง,รวม,รวม,522541.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,ปัตตานี,รวม,รวม,729581.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,ยะลา,รวม,รวม,542314.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,นราธิวาส,รวม,รวม,809660.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,กรุงเทพมหานคร,รวม,ชาย,2592292.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,สมุทรปราการ,รวม,ชาย,645884.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,นนทบุรี,รวม,ชาย,599167.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,ปทุมธานี,รวม,ชาย,563851.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,พระนครศรีอยุธยา,รวม,ชาย,394024.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,อ่างทอง,รวม,ชาย,131399.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,ลพบุรี,รวม,ชาย,368733.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,สิงห์บุรี,รวม,ชาย,97144.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,ชัยนาท,รวม,ชาย,153962.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,สระบุรี,รวม,ชาย,316201.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,ชลบุรี,รวม,ชาย,772463.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,ระยอง,รวม,ชาย,368992.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,จันทบุรี,รวม,ชาย,262257.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,ตราด,รวม,ชาย,112941.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,ฉะเชิงเทรา,รวม,ชาย,354834.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,ปราจีนบุรี,รวม,ชาย,244642.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,นครนายก,รวม,ชาย,128854.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,สระแก้ว,รวม,ชาย,280673.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,ราชบุรี,รวม,ชาย,421921.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,กาญจนบุรี,รวม,ชาย,448312.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,สุพรรณบุรี,รวม,ชาย,402883.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,นครปฐม,รวม,ชาย,442800.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,สมุทรสาคร,รวม,ชาย,282683.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,สมุทรสงคราม,รวม,ชาย,91101.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,เพชรบุรี,รวม,ชาย,232927.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,ประจวบคีรีขันธ์,รวม,ชาย,274049.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,เชียงใหม่,รวม,ชาย,864364.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,ลำพูน,รวม,ชาย,192712.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,ลำปาง,รวม,ชาย,352894.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,อุตรดิตถ์,รวม,ชาย,217413.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,แพร่,รวม,ชาย,209403.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,น่าน,รวม,ชาย,237959.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,พะเยา,รวม,ชาย,225943.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,เชียงราย,รวม,ชาย,630868.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,แม่ฮ่องสอน,รวม,ชาย,144811.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,นครสวรรค์,รวม,ชาย,504657.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,อุทัยธานี,รวม,ชาย,158926.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,กำแพงเพชร,รวม,ชาย,351539.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,ตาก,รวม,ชาย,341966.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,สุโขทัย,รวม,ชาย,283429.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,พิษณุโลก,รวม,ชาย,414577.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,พิจิตร,รวม,ชาย,258012.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,เพชรบูรณ์,รวม,ชาย,482234.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,นครราชสีมา,รวม,ชาย,1293783.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,บุรีรัมย์,รวม,ชาย,783531.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,สุรินทร์,รวม,ชาย,684354.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,ศรีสะเกษ,รวม,ชาย,725426.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,อุบลราชธานี,รวม,ชาย,932466.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,ยโสธร,รวม,ชาย,265945.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,ชัยภูมิ,รวม,ชาย,554299.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,อำนาจเจริญ,รวม,ชาย,187122.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,บึงกาฬ,รวม,ชาย,211494.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,หนองบัวลำภู,รวม,ชาย,253757.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
